poi_id,address_id,poi_type_desc,Point_of_interest_name,named_address
5,389,HARVARD UNIV,Ames Hall,TRUE
7,23747,HARVARD UNIV,Canaday Hall,TRUE
8,388,HARVARD UNIV,Child Hall,TRUE
9,23748,HARVARD UNIV,Claverly Hall,TRUE
10,397,HARVARD UNIV,Conant Hall,TRUE
11,256,HARVARD UNIV,"Daniels Hall, Currier House",TRUE
12,23749,HARVARD UNIV,Dane Hall,TRUE
13,23750,HARVARD UNIV,Dunster House,TRUE
14,23751,HARVARD UNIV,Eliot House,TRUE
15,23752,HARVARD UNIV,Grays Hall,TRUE
16,23753,HARVARD UNIV,Greenough Hall,TRUE
17,330,HARVARD UNIV,Hastings Hall,TRUE
18,23754,HARVARD UNIV,Hollis Hall,TRUE
20,23756,HARVARD UNIV,Holworthy Hall,TRUE
21,23757,HARVARD UNIV,Hurlbut Hall,TRUE
24,23760,HARVARD UNIV,Lionel Hall,TRUE
25,23761,HARVARD UNIV,Lowell House,TRUE
26,23762,HARVARD UNIV,Massachusetts Hall,TRUE
27,23763,HARVARD UNIV,Mather House,TRUE
28,23764,HARVARD UNIV,Matthews Hall,TRUE
29,23765,HARVARD UNIV,Mower Hall,TRUE
30,3104,HARVARD UNIV,North Hall,TRUE
31,23766,HARVARD UNIV,Pennypacker Hall,TRUE
32,395,HARVARD UNIV,Perkins Hall,TRUE
33,23767,HARVARD UNIV,"Mather Hall, Quincy House",TRUE
34,392,HARVARD UNIV,Richards Hall,TRUE
35,785,HARVARD UNIV,Rockefeller Hall,TRUE
36,385,HARVARD UNIV,Shaw Hall,TRUE
37,23768,HARVARD UNIV,Story Hall,TRUE
38,23769,HARVARD UNIV,Stoughton Hall,TRUE
39,23770,HARVARD UNIV,Straus Hall,TRUE
40,23771,HARVARD UNIV,Thayer Hall,TRUE
41,23772,HARVARD UNIV,Weld Hall,TRUE
42,23773,HARVARD UNIV,Wigglesworth Hall,TRUE
46,261,HARVARD UNIV,"Moors Halll, Pforzheimer House",TRUE
47,23873,HARVARD UNIV,Apley Court at Dudley House,TRUE
48,8829,COMPLEX,Fresh Pond Reservoir Pl,TRUE
49,26453,MUSEUM,Museum of Science,TRUE
50,1814,HARVARD UNIV,University Place,FALSE
