"ML","Location","UseCode","UseDescription","LandArea","TotalAppraisedLandValue","TotalAppraisedImprovements","TotalAppraisedParcelValue","BookPage","SaleDate","StyleDesc","GrossArea","Occupancy","AYBYrBuilt","BldgStories"
"7-18","219 MONSIGNOR OBRIEN HWY","337","PARKING-LOT",12478.9999752,1010700,0,1010700,"1379267",7/5/2005,"",,"",0,""
"7-19","221 MONSIGNOR OBRIEN HWY","316","WAREHOUSE",11182.000104,1426800,9400,1436200,"1379267",7/5/2005,"STORAGE-WHSE",29983,"1",1910,"3"
"7-29","225 MONSIGNOR OBRIEN HWY","400","MANUFACTURNG",32681.9999088,3100900,269100,3370000,"  1377/ 128",11/24/2009,"INDUST-MFCTR",65704,"1",1920,"4"
"7-31","187-197 MONSIGNOR OBRIEN HWY","300","HOTEL",12930.0001776,4397100,11602900,16000000," 26596/  61",8/20/1996,"HOTEL",25993,"0",2002,"7"
"7-34","199 MONSIGNOR OBRIEN HWY","316","WAREHOUSE",10233.0002016,923000,369400,1292400," 39915/ 323",7/14/2003,"RETAIL-STORE",18000,"1",1870,"4"
"7-35","263 MONSIGNOR OBRIEN HWY","316","WAREHOUSE",16035.000102,1023000,20800,1043800," 20124/ 348",10/6/1989,"STORAGE-WHSE",10480,"1",1983,"1"
"7-37","241 MONSIGNOR OBRIEN HWY","334","GAS-STATION",19710.0000504,1582700,312100,1894800," 54357/ 456",3/2/2010,"MARKET",1257,"1",1956,"1"
"7-41","209 MONSIGNOR OBRIEN HWY","337","PARKING-LOT",6007.999932,512200,1600,513800," 60615/  60",11/30/2012,"",,"",0,""
"7-113","191R MONSIGNOR OBRIEN HWY","130","RES-DEV-LAND",104672.9998908,22579200,0,22579200," 60804/ 121",12/21/2012,"",0,"",0,"3"
"7-114","MONSIGNOR OBRIEN HWY","975","Vacnt Transport Authorit",13265.999802,2247300,0,2247300,"/",1/1/1900,"",0,"",0,""
"8-50","32 FIRST ST","930","Vacant City",133872.0001344,4270500,0,4270500,"/",1/1/1900,"",0,"",0,""
"8-61","4 CANAL PK","199","CONDO-BLDG",84083.9999868,0,0,0,"     0/   0",1/1/1900,"",59046,"",1998,""
"8-61","4 CANAL PK #C1","343","OFFICE-CONDO",0,0,1443600,1443600," 24857/ 494",9/15/1994,"Commercial Condo",4764,"AP",1986,"1"
"8-61","4-6 CANAL PK #101","1021","CNDO LUX",0,0,369300,369300," 56188/ 515",12/30/2010,"APARTMENT",843,"AP",1986,"1"
"8-61","4 CANAL PK #108","1021","CNDO LUX",0,0,379400,379400," 30160/ 149",1/13/1989,"APARTMENT",750,"AP",1986,"1"
"8-61","4 CANAL PK #109","1021","CNDO LUX",0,0,293500,293500," 57084/ 225",7/1/2011,"APARTMENT",491,"AP",1986,"1"
