Database,Source Dataset,Source Name,Destination Name,Destination Path
cambridge,,ADDRESS_AddressPoints,ADDRESS_AddressPoints,Address\Address_Points
cambridge,,ADDRESS_MasterAddressBlocks,ADDRESS_MasterAddressBlocks,Address\Master_Address_Blocks
cambridge,ASSESSING_TaxFY2013,CommercialDistrictsFY2013,ASSESSING_CommercialDistrictsFY2013,Assessing\Commercial_Districts
cambridge,ASSESSING_TaxFY2013,EasementsFY2013,ASSESSING_EasementsFY2013,Assessing\Easements
cambridge,ASSESSING_TaxFY2013,ParcelMapIndexFY2013,ASSESSING_ParcelMapIndexFY2013,Assessing\Parcel_Map_Index
cambridge,ASSESSING_TaxFY2013,ParcelsFY2013,ASSESSING_ParcelsFY2013,Assessing\Parcels
cambridge,ASSESSING_TaxFY2013,ResidentialDistrictFY2013,ASSESSING_ResidentialDistrictFY2013,Assessing\Residential_Districts
cambridge,ASSESSING_TaxFY2013,SitedParcelLinesFY2013,ASSESSING_SubParcelLinesFY2013,Assessing\Sub_Parcel_Lines
cambridge,BASEMAP_PavementEdge,Bridges,BASEMAP_Bridges,Basemap\Bridges
cambridge,,BASEMAP_Buildings,BASEMAP_Buildings,Basemap\Buildings
cambridge,,BASEMAP_Cemeteries,BASEMAP_Cemeteries,Basemap\Cemeteries
cambridge,BASEMAP_PavementEdge,Curbs,BASEMAP_Curbs,Basemap\Curbs
cambridge,,BASEMAP_Decks,BASEMAP_Decks,Basemap\Decks
cambridge,,BASEMAP_Docks,BASEMAP_Docks,Basemap\Docks
cambridge,,BASEMAP_Driveways,BASEMAP_Driveways,Basemap\Driveways
cambridge,,BASEMAP_Fences,BASEMAP_Fences,Basemap\Fences
cambridge,,BASEMAP_Firewalls,BASEMAP_Firewalls,Basemap\Firewalls
cambridge,,BASEMAP_Headstones,BASEMAP_Headstones,Basemap\Headstones
cambridge,,BASEMAP_MiscStructures,BASEMAP_MiscStructures,Basemap\Misc_Structures
cambridge,,BASEMAP_ImperviousOther,BASEMAP_ImperviousOther,Basemap\Other_Impervious_Surfaces
cambridge,,BASEMAP_ParkingLots,BASEMAP_ParkingLots,Basemap\Parking_Lots
cambridge,,BASEMAP_Plazas,BASEMAP_Plazas,Basemap\Plazas
cambridge,,BASEMAP_Porches,BASEMAP_Porches,Basemap\Porches
cambridge,,BASEMAP_PrivateWalkways,BASEMAP_PrivateWalkways,Basemap\Private_Walkways
cambridge,,BASEMAP_PublicFootpaths,BASEMAP_PublicFootpaths,Basemap\Public_Footpaths
cambridge,BASEMAP_PavementEdge,Roads,BASEMAP_Roads,Basemap\Roads
cambridge,,BASEMAP_RooftopMechanicals,BASEMAP_RooftopMechanicals,Basemap\Rooftop_Mechanicals
cambridge,,BASEMAP_RooftopSolarPanels,BASEMAP_RooftopSolarPanels,Basemap\Rooftop_Solar_Panels
cambridge,BASEMAP_PavementEdge,Sidewalks,BASEMAP_Sidewalks,Basemap\Sidewalks
cambridge,,BASEMAP_Stairs,BASEMAP_Stairs,Basemap\Stairs
cambridge,,BASEMAP_SwimmingPools,BASEMAP_SwimmingPools,Basemap\Swimming_Pools
cambridge,,BASEMAP_Vegetation,BASEMAP_Vegetation,Basemap\Vegetation
cambridge,,BASEMAP_Walls,BASEMAP_Walls,Basemap\Walls
cambridge,,BOUNDARY_CDDNeighborhoods,BOUNDARY_CDDNeighborhoods,Boundary\CDD_Neighborhoods
cambridge,,BOUNDARY_CityBoundary,BOUNDARY_CityBoundary,Boundary\City_Boundary
cambridge,,BOUNDARY_Zipcodes,BOUNDARY_Zipcodes,Boundary\Zip_Codes
