Database,Source Dataset,Source Name,Destination Name,Destination Path
cambridge,,ADDRESS_AddressPoints,ADDRESS_AddressPoints,Address\Address_Points
cambridge,,BASEMAP_Buildings,BASEMAP_Buildings,Basemap\Buildings
cambridge,,BASEMAP_Driveways,BASEMAP_Driveways,Basemap\Driveways
cambridge,,BASEMAP_ParkingLots,BASEMAP_ParkingLots,Basemap\Parking_Lots
cambridge,,BASEMAP_PrivateWalkways,BASEMAP_PrivateWalkways,Basemap\Private_Walkways
cambridge,BASEMAP_PavementEdge,Roads,BASEMAP_Roads,Basemap\Roads
cambridge,BASEMAP_PavementEdge,Sidewalks,BASEMAP_Sidewalks,Basemap\Sidewalks
cambridge,,RECREATION_BikeFacilities,RECREATION_BikeFacilities,Recreation\Bike_Facilities
cambridge,TRANS_RoadCenterline,Intersections,TRANS_Intersections,Trans\Intersections
cambridge,TRANS_RoadCenterline,Centerline,TRANS_Centerlines,Trans\Street_Centerlines
